"","X","LRR","var.LRR","scale","col","row","Citation","pr.st"
"371",0.182321557,-0.327687407,1.08131e-07,2,"darkgreen",371,"Dehlin et al. 2008",-0.255241436400311
"372",0.843087328,-0.203124684,2.70456e-07,1.95482702501277,"darkgreen",372,"Dehlin et al. 2008",-0.140803801149296
"373",0.182321557,0.15415068,0.000584201,1.57650454340542,"darkgreen",373,"Dehlin et al. 2008",-0.255241436400311
"374",0.843087328,0.020619287,0.000599976,1.57519165248748,"darkgreen",374,"Dehlin et al. 2008",-0.140803801149296
"375",0.182321557,1.150572028,0.046814811,1.36050043744761,"darkgreen",375,"Dehlin et al. 2008",-0.255241436400311
"376",0.843087328,-0.467340512,0.039515763,1.36885242502497,"darkgreen",376,"Dehlin et al. 2008",-0.140803801149296
"377",0.182321557,3.135494216,0.049539216,1.35771323971752,"darkgreen",377,"Dehlin et al. 2008",-0.255241436400311
"378",0.843087328,0.405465108,0.011293889,1.43056538847544,"darkgreen",378,"Dehlin et al. 2008",-0.140803801149296
"379",0.182321557,0,0.008163265,1.44656068274268,"darkgreen",379,"Dehlin et al. 2008",-0.255241436400311
"380",0.843087328,0.251314428,0.006550768,1.4574040733221,"darkgreen",380,"Dehlin et al. 2008",-0.140803801149296
"381",0.182321557,0.201090996,0.008847463,1.44259476715118,"darkgreen",381,"Dehlin et al. 2008",-0.255241436400311
"382",0.843087328,-0.02992303,0.011155198,1.43117423148988,"darkgreen",382,"Dehlin et al. 2008",-0.140803801149296
"385",-0.143100844,0.283362411,0.000438522,1.59063813491543,"darkgreen",385,"Shannon et al. 2012",-0.311601150632766
"386",0.934309237,-0.064538521,0.000794917,1.56132843224612,"darkgreen",386,"Smith & Reynlods 2012",-0.125005132381626
