"","X","LRR","var.LRR","scale","col","Study.name","pr.st"
"77",-0.76,2.66374994220563,0.539969218340086,1.4607700731904,"darkgreen","Meixner_et_al.",-1.04154489198172
"78",-0.42,-2.62880082944807,68.9196027662341,1.04552561172878,"darkgreen","Melillo_et_al.",-0.668711995774342
"79",1.56,0.972417686107441,0.167109733685043,1.56120434051878,"darkgreen","Melillo_et_al.",1.50249134096272
"80",-0.4,-0.549359287768234,0.208820509252431,1.54212348109726,"darkgreen","Melillo_et_al.",-0.646780648938614
"81",-0.4,-0.385056236476957,0.22541846644495,1.53557406362498,"darkgreen","Melillo_et_al.",-0.646780648938614
"82",-0.38,-0.377509030841574,0.220942581938846,1.53729146710594,"darkgreen","Melillo_et_al.",-0.624849302102886
"83",-0.3,-0.291124416642754,0.209455136245321,1.54186363183111,"darkgreen","Melillo_et_al.",-0.537123914759974
"84",0.75,-0.0155847310166983,0.179810268089399,1.5549316770474,"darkgreen","Melillo_et_al.",0.614271794115743
"85",1.58,0.465483117834417,0.279807592021489,1.51706528654792,"darkgreen","Melillo_et_al.",1.52442268779845
"86",1.6,0.918350464837166,0.309750445111218,1.50835954737281,"darkgreen","Melillo_et_al.",1.54635403463418
"87",0.8,1.55059741241117,0.0646320970996296,1.64254939750339,"darkgreen","Melling_et_al.",0.669100161205063
"88",0.62,0.538996500732687,0.0893920068027211,1.61477727330726,"darkgreen","Melling_et_al.",0.471718039683511
"104",0.56,-0.356674943938732,0.0295034367913832,1.70970225104869,"darkgreen","Palm_et_al.",0.405923999176327
"105",0.18,0,0.0268923611111111,1.71763728010167,"darkgreen","Palm_et_al.",-0.0107715907025036
"106",0.11,0.106609735058258,0.0329754689100001,1.70017509725081,"darkgreen","Palm_et_al.",-0.0875313046275513
"107",0.46,0.46216045178471,0.262632934831842,1.52248961942294,"darkgreen","Palm_et_al.",0.296267264997688
"108",-0.81,1.06901181889182,1.05797243702556,1.40317432767782,"darkgreen","Palm_et_al.",-1.09637325907104
"109",-0.21,1.84820537858471,0.0482378049716755,1.66760253783554,"darkgreen","Perez_et_al.",-0.438432853999198
"110",-0.34,1.89892830364266,0.0424491144223497,1.67854945339383,"darkgreen","Perez_et_al.",-0.58098660843143
"111",0.35,1.41706601978664,0.0702009767092412,1.63547183482491,"darkgreen","Perez_et_al.",0.175644857401184
"112",0.67,3.08534443224368,0.310461083211644,1.50816331346928,"darkgreen","Perez_et_al.",0.526546406772831
"113",2.02,2.89729220074074,0.0924084106967077,1.6119354329804,"darkgreen","Perez_et_al.",2.00691231818447
"114",0.34,0.127833371509885,0.0171273388969913,1.75627147579255,"darkgreen","Perez_et_al.",0.16467918398332
"115",1.36,2.58399755243223,0.0224287039722779,1.73317951700203,"darkgreen","Perez_et_al.",1.28317787260544
"116",0.76,2.19974664676893,0.0189301416799257,1.74770148575762,"darkgreen","Perez_et_al.",0.625237467533607
"117",0,0.0392207131532813,0.325900679377602,1.50400724877827,"darkgreen","Rees_et_al.",-0.208153712224055
"118",0,-0.150822889734584,0.381760727520381,1.49046017627552,"darkgreen","Rees_et_al.",-0.208153712224055
"119",0,-0.579818495252942,0.342937112622827,1.49964392921185,"darkgreen","Rees_et_al.",-0.208153712224055
"120",-1.7,-0.863198644762086,0.102121660038761,1.603376801854,"darkgreen","Steudler_et_al.",-2.07231819326093
"121",-0.52,-0.438254930931155,0.0659975141634871,1.64075918449688,"darkgreen","Takakai_et_al.",-0.778368729952981
"122",-0.52,-0.0953101798043249,0.0307909956205411,1.70604444143169,"darkgreen","Takakai_et_al.",-0.778368729952981
"123",0.62,0.447576593458291,0.0613617340002864,1.64699580696905,"darkgreen","Takakai_et_al.",0.471718039683511
"124",0.62,-1.07613943281605,0.0238696993242448,1.72784737066978,"darkgreen","Takakai_et_al.",0.471718039683511
"125",3.13,2.43813058499027,0.00667148758145973,1.83700799482659,"darkgreen","Takakai_et_al.",3.22410206756737
"126",3.13,1.65388967500493,0.0196869430620934,1.74434470297437,"darkgreen","Takakai_et_al.",3.22410206756737
"127",-0.71,0.55748131540679,0.0225820858423177,1.73259590491875,"darkgreen","Tang_et_al.",-0.986716524892397
"128",-0.34,0.152016207298626,0.02710273354248,1.71697000961523,"darkgreen","Tang_et_al.",-0.58098660843143
"134",-1.72,-3.70130197411249,0.20553123720864,1.54348306164558,"darkgreen","Verchot_et_al.",-2.09424954009666
"135",-1.87,-2.27418561847235,0.200305343178571,1.54568851874308,"darkgreen","Verchot_et_al.",-2.25873464136462
"136",-1.69,-0.949766661070545,0.0149691100419169,1.76780498710518,"darkgreen","Verchot_et_al.",-2.06135251984307
"137",0.65,1.02572457291962,0.0557778961337881,1.6551658325809,"darkgreen","Verchot_et_al.",0.504615059937103
"138",0.57,1.61351123782174,0.0750150400296173,1.62979218384228,"darkgreen","Verchot_et_al.",0.416889672594191
"139",1.11,1.47881773001704,0.0338699766319849,1.69788315644874,"darkgreen","Verchot_et_al.",1.00903603715885
"140",0.82,0.55083095837969,0.0252745556005515,1.72295022885033,"darkgreen","Verchot_et_al.",0.69103150804079
"141",1.12,0.506735638514466,0.058866313955384,1.6505510184444,"darkgreen","Verchot_et_al.",1.02000171057671
"142",0.87,0.0971637484536479,0.037182583087078,1.68989272421144,"darkgreen","Verchot_et_al.",0.74585987513011
"143",1.05,0.990981624475744,0.112148527683938,1.59535658630111,"darkgreen","Verchot_et_al.",0.943241996651662
"144",0.9,2.2270108449178,0.235288322720367,1.53190447086986,"darkgreen","Verchot_et_al.",0.778756895383702
