"","X","LRR","var.LRR","col","scale","Study","Sys1","pr.st"
"677",0.4375,-0.319512847,0.042836767,"darkgreen",1.00612340576289,59,"T",-1.21380004930574
"678",0.9375,-1.066722564,0.042183774,"darkgreen",1.00622479895327,59,"T",1.11781370341828
"679",0.9375,-0.624407703,0.015955025,"darkgreen",1.01715925131773,59,"T",1.11781370341828
"680",0.4375,-0.216944301,0.010892033,"darkgreen",1.02533378869877,59,"T",-1.21380004930574
"681",0.75,-0.112355499,0.01314704,"darkgreen",1.02091530413519,59,"T",0.24345854614677
"730",0.9375,-0.889558742,0.040186787,"darkgreen",1.00655532744479,59,"T",1.11781370341828
"731",0.75,-0.244401594,0.022525929,"darkgreen",1.0120293701752,59,"T",0.24345854614677
"732",0.4375,-0.0014242,0.013704598,"darkgreen",1.02004702743524,59,"T",-1.21380004930574
"733",0.4375,0.002627355,0.017381516,"darkgreen",1.01571598566967,59,"T",-1.21380004930574
"734",0.9375,-0.400890972,0.029402337,"darkgreen",1.00911624292699,59,"T",1.11781370341828
"735",0.75,-0.142165373,0.023483776,"darkgreen",1.01152131850467,59,"T",0.24345854614677
"736",0.4375,-0.329997267,0.064099338,"darkgreen",1.00395066492655,59,"T",-1.21380004930574
"737",0.9375,-0.890519589,0.06504677,"darkgreen",1.00388690744564,59,"T",1.11781370341828
"738",0.75,-0.333058707,0.072704141,"darkgreen",1.00343259233041,59,"T",0.24345854614677
"739",0.75,0.24775091,0.018526983,"darkgreen",1.01471793496193,59,"T",0.24345854614677
"740",0.9375,-0.362492975,0.021241567,"darkgreen",1.01278251858875,59,"T",1.11781370341828
"741",0.4375,-0.031124378,0.016205699,"darkgreen",1.01688722782387,59,"T",-1.21380004930574
"742",0.9375,-1.068571602,0.075500913,"darkgreen",1.0032896344526,59,"T",1.11781370341828
"743",0.4375,-0.223878902,0.063759953,"darkgreen",1.00397396479621,59,"T",-1.21380004930574
"744",0.75,-0.562780576,0.088146173,"darkgreen",1.00275650278638,59,"T",0.24345854614677
"745",0.4375,-0.050879805,0.046639378,"darkgreen",1.00558936446258,59,"T",-1.21380004930574
"746",0.75,0.480625993,0.098640574,"darkgreen",1.00241784506409,59,"T",0.24345854614677
"747",0.9375,-0.337945047,0.066680754,"darkgreen",1.00378120526615,59,"T",1.11781370341828
"748",0.75,-0.444284203,0.052935266,"darkgreen",1.00487384487958,59,"T",0.24345854614677
"749",0.4375,0.083664671,0.050320885,"darkgreen",1.0051492283628,59,"T",-1.21380004930574
"750",0.9375,-1.183424568,0.035306442,"darkgreen",1.00752043488955,59,"T",1.11781370341828
"751",0.9375,-1.079981339,0.025639099,"darkgreen",1.01051692463025,59,"T",1.11781370341828
"752",0.4375,-0.202323586,0.024137361,"darkgreen",1.01119779432709,59,"T",-1.21380004930574
"753",0.75,-0.406649958,0.029121311,"darkgreen",1.00920833369798,59,"T",0.24345854614677
"801",0.4375,-0.150369675,0.005760126,"darkgreen",1.04828471540337,59,"T",-1.21380004930574
"802",0.75,0.050891077,0.012169632,"darkgreen",1.02262939105116,59,"T",0.24345854614677
"803",0.9375,-0.722658219,0.039410484,"darkgreen",1.00669285780849,59,"T",1.11781370341828
"804",0.4375,-0.09682599,0.005768652,"darkgreen",1.04821272056106,59,"T",-1.21380004930574
"805",0.75,-0.228244477,0.008623365,"darkgreen",1.03211094666359,59,"T",0.24345854614677
"806",0.9375,-0.702448229,0.022017514,"darkgreen",1.01231699723621,59,"T",1.11781370341828
"807",0.75,0.023251724,0.034887421,"darkgreen",1.00761588476137,59,"T",0.24345854614677
"808",0.9375,-0.794784942,0.026359805,"darkgreen",1.01021771500125,59,"T",1.11781370341828
"809",0.4375,-0.199658261,0.020276671,"darkgreen",1.01341109731742,59,"T",-1.21380004930574
"810",0.4375,-0.108148104,0.00588991,"darkgreen",1.04721136161495,59,"T",-1.21380004930574
"811",0.9375,-0.352271526,0.01731154,"darkgreen",1.01578123681482,59,"T",1.11781370341828
"812",0.75,0.002500001,0.033169138,"darkgreen",1.00803251810356,59,"T",0.24345854614677
"813",0.75,0.17290465,0.049961773,"darkgreen",1.00518930637616,59,"T",0.24345854614677
"814",0.4375,-0.186009812,0.063627103,"darkgreen",1.00398315306732,59,"T",-1.21380004930574
"815",0.9375,-0.374131619,0.048838978,"darkgreen",1.00531841594811,59,"T",1.11781370341828
