"","X","LRR","var.LRR","scale","col","ref","pr.st"
"646",4.4,-0.4638,0.2681,1.56803909831441,"darkgreen","Hobbie & Chapin 1998",1.0632394350475
"647",4.4,0.1744,0.5681,1.5164239770416,"darkgreen","Hobbie & Chapin 1998",1.0632394350475
"648",4.4,0.178,0.0702,1.66014380218081,"darkgreen","Hobbie & Chapin 1998",1.0632394350475
"653",4.4,-0.3185,0.3043,1.55933362959372,"darkgreen","Hobbie & Chapin 1998",1.0632394350475
"654",4.4,0.6931,0.2517,1.57237775158831,"darkgreen","Hobbie & Chapin 1998",1.0632394350475
"657",4.4,1.0716,0.2516,1.57240506502072,"darkgreen","Hobbie & Chapin 1998",1.0632394350475
"658",4.4,-0.4411,0.2001,1.58814680902376,"darkgreen","Hobbie & Chapin 1998",1.0632394350475
"668",4.4,0.0189,0.0116,1.78388904578612,"darkgreen","Hobbie & Chapin 1998",1.0632394350475
"669",4.4,0.0156,0.0376,1.70305763776035,"darkgreen","Hobbie & Chapin 1998",1.0632394350475
"670",4.4,0.2412,0.0399,1.69897672896755,"darkgreen","Hobbie & Chapin 1998",1.0632394350475
"671",4.4,-0.0574,0.0288,1.72138415942008,"darkgreen","Hobbie & Chapin 1998",1.0632394350475
"672",4.4,-0.1203,0.0292,1.72043608574438,"darkgreen","Hobbie & Chapin 1998",1.0632394350475
"673",4.4,0.0599,0.0266,1.72684606977782,"darkgreen","Hobbie & Chapin 1998",1.0632394350475
"674",4.4,0.1292,0.117,1.62503258516444,"darkgreen","Hobbie & Chapin 1998",1.0632394350475
"729",2.04,-0.1088,0.0029,1.87917495138146,"darkgreen","Hovenden et al. 2008",-0.555665519138339
"731",1.99,-0.4664,0.0024,1.89218235862336,"darkgreen","Hovenden et al. 2008",-0.589964352913463
"744",2.4,-0.768,0.5386,1.52008918147071,"darkgreen","Jonasson et al. 1999",-0.308713915957448
"745",2.8,0.413,0.2045,1.58665178860494,"darkgreen","Jonasson et al. 1999",-0.0343232457564584
"746",3.9,0.4702,0.1518,1.60713487815543,"darkgreen","Jonasson et al. 1999",0.720251097296264
"747",4.9,-1.741,0.893,1.48533622272047,"darkgreen","Jonasson et al. 1999",1.40622777279874
"748",2.4,0.7321,0.4382,1.53426890317253,"darkgreen","Jonasson et al. 1999",-0.308713915957448
"749",2.8,0.0585,0.1823,1.59455033660276,"darkgreen","Jonasson et al. 1999",-0.0343232457564584
"750",3.9,0.8066,0.2057,1.58624963678937,"darkgreen","Jonasson et al. 1999",0.720251097296264
