"","X","LRR","var.LRR","scale","col","ID.study","ID.case","system","pr.st"
"56",-0.391699393979431,0.296265816143172,0.0134153037290328,1.46901339023076,"darkblue","BBH082",56,"freshwater",-0.404560319988477
"57",-0.391699393979431,0.200670695462151,0.0300245723225521,1.42246488605269,"darkblue","BBH082",57,"freshwater",-0.404560319988477
"58",-0.389400015446737,0.606135803570315,0.00513653660506807,1.52448291595504,"darkblue","BBH083",58,"freshwater",-0.402206159583027
"59",-0.389400015446737,0.660990068925414,0.000566033594078408,1.6519150011637,"darkblue","BBH083",59,"freshwater",-0.402206159583027
"62",-0.426711596627767,0.826678573184468,0.00463036777210884,1.53047714338106,"darkblue","BBH085",62,"freshwater",-0.440406675866973
"63",-0.426711596627767,1.15267950993839,0.010625064122294,1.48248648878966,"darkblue","BBH085",63,"freshwater",-0.440406675866973
"64",-0.446391560391535,1.06784063000136,0.0144735709366391,1.46462628137962,"darkblue","BBH086",64,"freshwater",-0.460555507742463
"65",-0.446391560391535,0.65232518603969,0.00711481481481481,1.50565827121625,"darkblue","BBH086",65,"freshwater",-0.460555507742463
"66",-0.425766885119737,0.889857474806,0.0074328408111827,1.50313162582313,"darkblue","BBH087",66,"freshwater",-0.439439456944487
"67",-0.425766885119737,1.00330210886378,0.00467477808386899,1.52992561302497,"darkblue","BBH087",67,"freshwater",-0.439439456944487
"68",-0.433226401450691,0.545227050483323,0.000489666474130085,1.66028895559937,"darkblue","BBH088",68,"freshwater",-0.447076693589282
"69",-0.433226401450691,0.575364144903562,0.00192945887631459,1.5810573268351,"darkblue","BBH088",69,"freshwater",-0.447076693589282
"70",-0.264000453864006,0,0.00374855824682814,1.54268397748412,"darkblue","BBH089",70,"freshwater",-0.27381899820815
"71",-0.264000453864006,0,0.00300092336103416,1.55553715130254,"darkblue","BBH089",71,"freshwater",-0.27381899820815
"72",-0.388838505315293,0.603535021870258,0.00548044217687075,1.52073839977196,"darkblue","BBH090",72,"freshwater",-0.401631271673138
"73",-0.388838505315293,0.843429383609283,0.0110249843195336,1.48035162901007,"darkblue","BBH090",73,"freshwater",-0.401631271673138
"74",-0.444920008248347,0.843429383609283,0.0127293914293461,1.47204581589982,"darkblue","BBH091",74,"freshwater",-0.459048896394748
"75",-0.444920008248347,1.04860186809345,0.00101233272880186,1.61832422782652,"darkblue","BBH091",75,"freshwater",-0.459048896394748
"76",-0.449377596456902,1.08401348924696,0.00367388142847487,1.5438466549898,"darkblue","BBH092",76,"freshwater",-0.463612685051194
"77",-0.449377596456902,0.980829253011726,0.0120110544217687,1.4754020194387,"darkblue","BBH092",77,"freshwater",-0.463612685051194
"80",-0.397565245488102,2.29517515676534,0.13303587407147,1.33645382752462,"darkblue","BBH152",80,"freshwater",-0.410565923315471
"81",-0.397565245488102,2.0548970862171,0.152931312407635,1.32840106338808,"darkblue","BBH152",81,"freshwater",-0.410565923315471
"116",1.44353078722579,-1.03990468784133,0.143558832172702,1.33205528163195,"darkgreen","DSG002",116,"terrestrial",1.47439356518116
"117",1.44353078722579,-0.0977697014377017,0.0462198032961512,1.39753916075148,"darkgreen","DSG002",117,"terrestrial",1.47439356518116
"118",1.44353078722579,1.22377543162212,0.181945906103479,1.31836353779911,"darkgreen","DSG002",118,"terrestrial",1.47439356518116
"119",1.44353078722579,-0.154898343413489,0.142671098307571,1.33241368709549,"darkgreen","DSG002",119,"terrestrial",1.47439356518116
"120",1.39645447033917,0.65525933597649,0.0161008079742172,1.45847013086335,"darkgreen","DSG017",120,"terrestrial",1.42619567184904
"121",1.39645447033917,0.531820193243491,0.0369921241634346,1.41040689790759,"darkgreen","DSG017",121,"terrestrial",1.42619567184904
"122",1.39645447033917,0.0166672091210457,0.037941001463668,1.40894349164204,"darkgreen","DSG018",122,"terrestrial",1.42619567184904
"123",1.39645447033917,0.315384438288667,0.0812619252939829,1.36493583804962,"darkgreen","DSG018",123,"terrestrial",1.42619567184904
"132",1.06382754147223,0.728238500371215,0.124355167156042,1.3403526359304,"darkgreen","DSG046",132,"terrestrial",1.08564402513619
